1	Bulls	894659	21820	104.3
2	Cavaliers	843042	20562	100
3	Mavericks	825901	20143	104.9
4	Raptors	812863	19825	100.1
5	NY Knicks	812292	19812	100
6	Heat	809350	19740	100.7
7	Warriors	803436	19596	100
8	Trail Blazers	794085	19367	99.6
9	Jazz	791489	19304	97
10	Clippers	786910	19192	100.7
11	Lakers	778877	18997	99.7
12	Spurs	756445	18449	99.3
13	Celtics	749076	18270	98.1
14	Thunder	746323	18203	100
15	Rockets	737244	17981	99.7
16	Wizards	725426	17693	87.3
17	Magic	719275	17543	93.1
18	Hornets	716894	17485	91.7
19	Kings	707526	17256	99.7
20	Suns	701405	17107	92.9
21	Pacers	690733	16847	92.7
22	Hawks	690150	16832	89.9
23	Pelicans	688549	16793	97.7
24	Grizzlies	684603	16697	92.2
25	Pistons	677138	16515	74.8
26	Bucks	621808	15166	81
27	Nets	620142	15125	83.6
28	76ers	610121	14881	73.2
29	Timberwolves	581178	14175	73.2
30	Nuggets	577898	14095	73.6
